sourceType,platformId,platformLabel,date,region,channel,sourceChannel,merchant,rawMerchant,brand,product,rawProduct,activityName,activityGmv,subsidy,orderId
bill,taobao,淘宝闪购,2026-06-08,CIB苏皖,惠宜选,仓店,惠宜选,拾惠客24H超市(芜湖弋江店),乐堡,乐堡啤酒495ml瓶装12箱装,乐堡啤酒495ml*12/箱装,嘉士伯_满减券_6月品牌加持满59-10全渠道,64.8,10.0,4011320337939547896
bill,taobao,淘宝闪购,2026-06-08,华中-非湖南,惠宜选,仓店,惠宜选,拾惠客24h超市(黄冈黄州大道店),乌苏,红乌苏500ml大罐装6罐装,红乌苏 500ml*6多罐装,【闪购仓】6月深夜小酒馆49-15,49.0,8.0,4011430338157970992
bill,taobao,淘宝闪购,2026-06-08,CIB东南,酒小二,酒类专营店,酒小二,酒小二(龙岩万达店),乌苏,红乌苏620ml大瓶装12箱装,红乌苏啤酒620ml*12瓶/箱,嘉士伯_满减券_6月CIB加持品牌券满79-20,109.0,20.0,4011490338013793909
bill,taobao,淘宝闪购,2026-06-08,华中-湖南,酒小二,酒类专营店,酒小二,酒小二(永州神仙岭店),重庆啤酒,重庆88啤酒500ml大罐装12箱装,重庆88啤酒500ml大罐装12箱装,嘉士伯_满减券_6月华中加持品牌券满79-20,94.0,20.0,4011490338096440944
bill,taobao,淘宝闪购,2026-06-08,华中-湖南,酒小二,酒类专营店,酒小二,酒小二(永州神仙岭店),重庆啤酒,重庆88啤酒500ml大罐装12箱装,重庆88啤酒500ml大罐装12箱装,【品牌联盟券】6月深夜小酒馆38-8,47.0,8.0,4011490338373232223
bill,taobao,淘宝闪购,2026-06-08,YN,酒小二,酒类专营店,酒小二,酒小二(玉溪凤凰店),大理啤酒,大理V8啤酒500ml罐装,大理V8啤酒500ml罐装,【品牌联盟券】6月深夜小酒馆38-8,53.0,8.0,4011536172017180221
bill,taobao,淘宝闪购,2026-06-08,YN,酒小二,酒类专营店,酒小二,酒小二(大理三茂街店),大理啤酒,大理V8啤酒500ml罐装,大理V8啤酒500ml罐装,【品牌联盟券】6月深夜小酒馆38-8,53.0,8.0,4011546172001238648
bill,taobao,淘宝闪购,2026-06-08,CIB苏皖,酒小二,酒类专营店,酒小二,酒小二(合肥滨湖一店),乌苏,红乌苏500ml大罐装12箱装,红乌苏啤酒500ml*12罐/箱,6月嘉士伯超级品牌券59-20新供给,84.0,12.0,4011646171942278700
bill,taobao,淘宝闪购,2026-06-08,华中-湖南,酒小二,酒类专营店,酒小二,酒小二(永州徐家井店),乌苏,红乌苏500ml大罐装,乌苏 红罐装啤酒 500ml/罐,嘉士伯_满减券_6月华中加持品牌券满29-6,40.0,6.0,4011656171992941273
bill,taobao,淘宝闪购,2026-06-08,华中-湖南,惠宜选,仓店,惠宜选,拾惠客24H超市(祁阳浯溪中路店),乌苏,乌苏1986啤酒620ml瓶装,乌苏1986啤酒620ml瓶装,【品牌联盟券】6月深夜小酒馆38-8,38.0,8.0,4011666171943710419
bill,taobao,淘宝闪购,2026-06-08,CIB东南,惠宜选,仓店,惠宜选,惠宜选超市(杭州萧山新街店),乌苏,红乌苏500ml大罐装6罐装,红乌苏 500ml*6多罐装,嘉士伯_满减券_6月CIB加持品牌券满39-10,43.9,10.0,4011886172013607678
bill,taobao,淘宝闪购,2026-06-08,CBC-CQ,酒小二,酒类专营店,酒小二,酒小二(荣昌富安南路店),重庆啤酒,重庆33啤酒500ml大罐装12箱装,重庆33啤酒500ml大罐装12箱装,嘉士伯_满减券_6月品牌加持满49-10全渠道-新,51.0,10.0,4011906171714057947
